Index,ID,赤経時,赤経分,赤経秒,赤緯符号,赤緯度,赤緯分,赤緯秒,視等級,Long,Lati,Z,X,Y
0,657,4,49,50.14,1,6,57,40.5,3.19,1.2646466682615278,0.12149673255445526,6.059902082480766,14.958391767792357,47.323610412477905
1,660,4,50,36.72,1,8,54,0.9,4.35,1.2680340614514403,0.15533866675062533,7.735734854306458,14.728395275757347,47.15116943263355
2,663,4,51,12.37,1,5,36,18.4,3.68,1.2706266026111734,0.0978276438290066,4.883583967244099,14.713429873393505,47.53593997172674
3,668,4,53,22.76,1,2,30,29.8,5.33,1.2801088309931543,0.04377770577682888,2.1881861939442184,14.316817341264057,47.856458105437696
4,672,4,54,53.7,1,10,9,4.1,4.64,1.2867221744171695,0.17717079643834993,8.81226832742036,13.79407883256237,47.244759667994906
5,681,4,58,32.9,1,1,42,50.5,4.47,1.302662848252051,0.02991542819286392,1.495548317132479,13.240676733803165,48.19178161120468
6,726,5,14,32.27,0,8,12,5.9,0.18,1.3724302034389595,-0.1431456026707205,-7.132862260678998,9.75260895553656,48.51812954484714
7,759,5,25,7.87,1,6,20,59.0,1.64,1.4186523397959427,0.11082355936482884,5.529842268438812,7.531397328899982,49.119231455311116
8,780,5,32,0.4,0,0,17,56.7,2.25,1.4486523679761603,-0.0052199889045063735,-0.26099825992909187,6.0919405694130155,49.62680868247579
9,790,5,35,8.28,1,9,56,3.0,3.39,1.462315387137189,0.17338391677520334,8.625825544226933,5.332249421675046,48.96082362241886
10,800,5,36,12.81,0,1,12,6.9,1.69,1.4670081411634888,-0.020977403167928513,-1.0487932339510766,5.178957876708922,49.72000028221735
11,814,5,40,45.52,0,1,56,33.3,1.74,1.4868401720097961,-0.03390447516103318,-1.694898996303652,4.190468353268116,49.79525371330673
12,831,5,47,45.39,0,9,40,10.6,2.07,1.5173739800529151,-0.16876655127631615,-8.398327620289189,2.631915649762679,49.21931646411622
13,852,5,54,23.08,1,20,16,35.1,4.39,1.5462948129789829,0.35389023133958686,17.327479035888153,1.1490448046380872,46.887505439059034
14,856,5,55,10.29,1,7,24,25.3,0.45,1.54972802106176,0.1292770225089011,6.445861593615371,1.044547633791461,49.57176402506467
15,873,6,2,22.99,1,9,38,50.5,4.12,1.5811948530341744,0.1683782155177474,8.37918605981898,-0.5125641976900469,49.29022741800023
16,875,6,3,27.36,1,19,41,26.2,5.14,1.5858759715321276,0.3436659956186679,16.847048896064972,-0.7098668027023569,47.070936177391005
17,888,6,7,34.32,1,14,46,6.7,4.42,1.603835409535149,0.25775943539446367,12.74573246175274,-1.5970888535689078,48.32179230127157
18,899,6,11,56.4,1,14,12,31.7,4.45,1.6228944049669272,0.2479904397201065,12.272818654904839,-2.5240715740355544,48.404617392899254
